incorrect_text,correct_text,error_type,error_location,explanation,difficulty_level
飯食いに行く？,お食事に行きませんか？,context_error,飯食い,Too colloquial. 「お食事に行きませんか？」 is the polite invitation.,intermediate
あざーす！,ありがとうございます,context_error,あざーす,Slang for ありがとうございます. Not appropriate for formal contexts.,beginner
ウケる,面白いですね,context_error,ウケる,Slang meaning 'funny'. Use 「面白いですね」 in polite conversation.,intermediate
じゃあね,失礼します,context_error,じゃあね,Too casual for leaving a workplace or formal situation.,beginner
何してんの？,何をされていますか？,context_error,何してんの,Very casual. The polite form is 「何をされていますか？」 (honorific).,intermediate
俺はそう思う,私はそう思います,context_error,俺,俺 is a very informal male pronoun for 'I'. Use 私 (watashi).,beginner
すごいですね！,左様でございますか,context_error,すごいですね,"While polite, in a very formal context with a high-status person, more formal phrases are better.",advanced
分かった,承知いたしました,context_error,分かった,Casual. 「承知いたしました」 is the correct formal response in business.,advanced
なるほどですね,左様でございますか,context_error,なるほどですね,Avoid using 「なるほど」 with superiors as it can sound condescending.,advanced
資料を送付します,資料を送付いたします,business_japanese,します,"いたします is the humble form of します, appropriate when talking about your own actions to a client/superior.",intermediate
山田部長がおられます,山田部長がいらっしゃいます,business_japanese,おられます,いらっしゃいます is the correct honorific form for いる (to be).,advanced
明日、会社に来ますか？,明日、出社されますか？,business_japanese,会社に来ますか,「出社されますか」 is more professional than 「会社に来ますか」.,intermediate
この件、分かりますか？,こちらの件、ご存知でしょうか？,business_japanese,分かりますか,「ご存知でしょうか」 is a more polite way to ask if someone knows something.,intermediate
何々をください,何々をいただけますでしょうか,business_japanese,ください,いただけますでしょうか is a more polite way to ask for something.,intermediate
すみません、今、いいですか？,恐れ入ります、今よろしいでしょうか？,business_japanese,すみません、今、いいですか,「恐れ入ります」 is more formal than 「すみません」 for initiating a conversation.,advanced
了解しました,承知いたしました,business_japanese,了解しました,「了解」 is typically used by superiors to subordinates. Use 「承知いたしました」 when speaking to a superior or client.,intermediate
ご苦労様です,お疲れ様です,business_japanese,ご苦労様です,「ご苦労様」 is for superiors to subordinates. 「お疲れ様」 is used more broadly.,beginner
拝見してください,ご覧ください,business_japanese,拝見してください,「拝見する」 is humble (for your own actions). 「ご覧ください」 is honorific (for the other person's actions).,advanced
参考になりました,大変勉強になりました,business_japanese,参考になりました,Can sound condescending. 「大変勉強になりました」 expresses more gratitude and humility.,intermediate
おっしゃられる,おっしゃる,business_japanese,おっしゃられる,Redundant honorifics (二重敬語). 「おっしゃる」 is already the honorific form of 「言う」.,advanced
明日の会議、よろしく！,明日の会議、よろしくお願いいたします。,business_japanese,よろしく,Too casual. Always use the full form in business communication.,beginner
プロジェクトの件、どう？,プロジェクトの件、いかがでしょうか？,business_japanese,どう,「どう」 is casual. 「いかがでしょうか」 is the polite way to ask about progress.,intermediate
草,（笑）/面白い,social_media,草,Internet slang for laughing. Not suitable for formal contexts. Explain what it means.,beginner
り,了解,social_media,り,Abbreviation for 了解 (understood). Only for texting/chat with friends.,beginner
おめ！,おめでとう！,social_media,おめ,Abbreviation for おめでとう (congratulations). Very casual.,beginner
ワンチャンある,可能性がある,social_media,ワンチャン,Slang meaning 'there's a chance'. Use 「可能性がある」 in formal speech.,intermediate
wktk,わくわく,social_media,wktk,Abbreviation of wakuwaku (excited). Used in online chats.,intermediate
今北産業,今来たばかりなので、三行で説明してください,social_media,今北産業,"Internet slang for 'I just got here, explain in 3 lines'. Not for general use.",advanced
ググる,Googleで検索する,social_media,ググる,Slang for searching on Google. Use the full phrase in formal contexts.,beginner
乙,お疲れ様,social_media,乙,Abbreviation for お疲れ様 (otsukaresama). Used in online gaming/chats.,intermediate
フロリダ,お風呂に入るので離脱します,social_media,フロリダ,Slang meaning 'leaving to take a bath'. A pun on 風呂 (furo) and 離脱 (ridatsu).,advanced
飯テロ,夜中においしそうな食べ物の写真を見せること,social_media,飯テロ,"Slang for 'food terrorism', posting delicious food pics late at night.",intermediate
リア充,現実の生活が充実している人,social_media,リア充,Slang for someone whose real life (リアル) is fulfilling (充実).,intermediate
既読スルー,メッセージを読んだのに返信しないこと,social_media,既読スルー,Ignoring a message after reading it (seen).,intermediate
バズる,インターネットで話題になる,social_media,バズる,To go viral or 'buzz' online.,intermediate
この論文は考える,この論文は考察する,academic_writing,考える,「考察する」 (to consider/examine) is more appropriate for academic writing than 「考える」 (to think).,intermediate
すごいデータ,重要なデータ,academic_writing,すごい,Avoid vague words like 「すごい」. Use precise terms like 「重要」 (important) or 「興味深い」 (interesting).,intermediate
いろんな方法がある,様々な方法がある,academic_writing,いろんな,「様々な」 is more formal and academic than 「いろんな」.,beginner
AはBと思う,AはBと考えられる,academic_writing,思う,Use objective phrasing like 「考えられる」 (it is considered) instead of personal opinions with 「思う」.,intermediate
めっちゃ大きい,非常に大きい,academic_writing,めっちゃ,Slang for 'very'. Use formal adverbs like 「非常に」 (extremely).,beginner
だから、この結果になった,したがって、この結果が得られた,academic_writing,だから,「だから」 is colloquial. Use formal conjunctions like 「したがって」 (therefore) or 「よって」 (thus).,intermediate
このグラフを見てください,図1を参照されたい,academic_writing,見てください,Use formal phrasing like 「〜を参照されたい」 (refer to ~) and label figures.,advanced
データをゲットした,データを取得した,academic_writing,ゲットした,Avoid loanwords like 「ゲット」. Use formal Japanese verbs like 「取得した」 (obtained).,intermediate
〜など。,〜などである。,academic_writing,など。,End sentences properly. 「などである」 or 「などが挙げられる」 are more complete.,beginner
やばい結果,驚くべき結果,academic_writing,やばい,Slang. Use descriptive and objective words like 「驚くべき」 (surprising) or 「注目すべき」 (noteworthy).,intermediate
〜かもしれない,〜と示唆される,academic_writing,かもしれない,Too uncertain. Phrases like 「示唆される」 (it is suggested) are more academic.,intermediate
ちゃんとした実験,厳密な実験,academic_writing,ちゃんとした,Too colloquial. Use precise words like 「厳密な」 (rigorous).,intermediate
この実験はダメだった,この実験は失敗した,academic_writing,ダメだった,Too informal. Use 「失敗した」 (failed) or 「成功しなかった」 (did not succeed).,beginner
お土産、つまらないものですが,心ばかりの品ですが、どうぞ,cultural_context,つまらないものですが,"While a set phrase, it can sound overly self-deprecating. 「心ばかりの品ですが」 (It is but a small token of my feelings) is a graceful alternative.",advanced
ごめんください,失礼します,cultural_context,ごめんください,「ごめんください」 is used when visiting someone's home. 「失礼します」 is used when entering an office.,intermediate
いただきます,（食事の前に何も言わない）,cultural_context,いただきます,It is customary to say 「いただきます」 before eating to express gratitude.,beginner
ただいま,（家に帰って何も言わない）,cultural_context,ただいま,It is customary to say 「ただいま」 when returning home.,beginner
お邪魔します,（人の家に入るときに何も言わない）,cultural_context,お邪魔します,It is polite to say 「お邪魔します」 when entering someone's home.,beginner
乾杯！,（飲み会で自分のペースで飲み始める）,cultural_context,乾杯！,"In a group setting, it is customary to wait for a toast (乾杯) before drinking.",beginner
お先に失礼します,（何も言わずに帰る）,cultural_context,お先に失礼します,"When leaving work before others, it is polite to say 「お先に失礼します」.",beginner
この度はご愁傷様です,この度はご愁傷様でございます,cultural_context,です,"At a funeral, more formal and solemn language like 「でございます」 is appropriate.",intermediate
新年おめでとう,明けましておめでとうございます,cultural_context,新年おめでとう,"「明けまして〜」 is the standard, more formal greeting for New Year's.",beginner
あなたの会社は？,御社は？,cultural_context,あなたの会社,"When referring to another person's company, use the honorific term 「御社」 (onsha).",intermediate
私の会社,弊社,cultural_context,私の会社,"When referring to your own company, use the humble term 「弊社」 (heisha).",intermediate
鈴木さんの奥さん,鈴木様の奥様,cultural_context,奥さん,奥様 (okusama) is more polite and respectful when referring to someone else's wife.,intermediate
頑張ってください,応援しております,cultural_context,頑張ってください,Can be perceived as condescending when said to a superior. 「応援しております」 is a more supportive and humble alternative.,advanced
食べれる,食べられる,advanced_grammar,食べれる,"This is the casual, shortened potential form ('ra-nuki kotoba'). The grammatically correct form is 食べられる.",intermediate
見さして,見させて,advanced_grammar,見さして,Incorrect causative form. The correct form is 見させてください (please let me see).,intermediate
彼に来ます,彼が来ます,advanced_grammar,に,"The particle を or が should be used for the subject of a verb, not に.",beginner
先生が学生を教えさせる,先生が学生に教える,advanced_grammar,教えさせる,Causative form is incorrect here. It implies the teacher is forcing the student to teach.,intermediate
もし明日雨だったら、行きません,もし明日雨なら、行きません,advanced_grammar,だったら,"While common in speech, 「なら」 is often preferred over 「だったら」 in conditional sentences in writing.",intermediate
美しいである町,美しい町,advanced_grammar,である,i-adjectives like 美しい directly modify nouns without である.,beginner
静かな町です,静かな町だ,advanced_grammar,です,"na-adjectives use だ in plain form, not です.",beginner
私は本を読まないで、寝た,私は本を読まずに、寝た,advanced_grammar,ないで,「〜ずに」 is a more formal and written-style equivalent of 「〜ないで」.,advanced
歩きながら、音楽を聞く,歩きながら音楽を聞く,advanced_grammar,",",No comma is needed when using ながら to connect two simultaneous actions by the same subject.,beginner
かれは学生じゃないかと思う,彼は学生ではないかと思う,advanced_grammar,じゃないか,「ではないか」 is the more formal written form of 「じゃないか」.,intermediate
医者として、言う,医者として言う,advanced_grammar,",",No comma needed when として indicates a role or capacity.,beginner
日本へ来た時、桜を見た,日本へ来た時に、桜を見た,advanced_grammar,時、,"While not a major error, adding に after 時 clarifies that it was *at the time of* coming to Japan.",intermediate
勉強すれば、上手になる,勉強すれば上手になる,advanced_grammar,",",No comma is generally needed with conditional ば.,beginner
３月２０日,三月二十日,number_date_time,３月２０日,"In formal or traditional writing, Japanese numerals (漢数字) are often used for dates.",intermediate
いちじ,一時,number_date_time,いちじ,"When writing time, Kanji is standard.",beginner
午後１３時,午後１時 or １３時,number_date_time,午後１３時,"Redundant. Use either 午後 (p.m.) with 1-12 hour format, or 24-hour format.",beginner
二人で,２人で,number_date_time,二人,"While both are correct, using Arabic numerals is common in modern horizontal writing. This is a stylistic choice.",beginner
一本のペン,ペン一本,number_date_time,一本のペン,It is more natural to place the number and counter after the noun.,intermediate
３人と犬２匹,３人と犬が２匹,number_date_time,と,Adding the particle が makes the sentence smoother.,beginner
２０２３年１０月１１日水曜日,２０２３年１０月１１日（水）,number_date_time,水曜日,It is common to abbreviate the day of the week in parentheses.,beginner
九時ごろ,九時頃,number_date_time,ごろ,The suffix for 'about' (time) is usually written in Kanji.,beginner
３人目の子供,三人目の子供,number_date_time,３人目,Using Kanji for numbers with counters can look more formal.,intermediate
千円,一千円,number_date_time,千円,"For clarity in financial documents, 一 is sometimes added before 千 or 万.",advanced
一時間半ぐらい,一時間半ほど,number_date_time,ぐらい,ほど can sound slightly more formal than ぐらい.,intermediate
一回,１回,number_date_time,一回,Arabic numerals are very common for counting occurrences in everyday writing.,beginner
あれは私のカバンです,あちらは私のカバンです,demonstratives,あれ,「あちら」 is a more polite equivalent of 「あれ」 (that one over there).,intermediate
この人、誰ですか,こちらは、どなたですか,demonstratives,この人、誰,「こちら」 is more polite than 「この人」. 「どなた」 is more polite than 「誰」.,intermediate
そっちの本を取ってください,そちらの本をお取りください,demonstratives,そっち,"「そちら」 is the polite form of 「そっち」 (that way, that one).",intermediate
ここです,こちらです,demonstratives,ここ,「こちら」 is the polite form of 「ここ」 (here).,beginner
どうですか,いかがですか,demonstratives,どう,「いかが」 is the polite form of 「どう」 (how).,beginner
そんなこと、知らない,そのようなことは存じません,demonstratives,そんなこと,「そのようなこと」 is more formal. 「存じません」 is the humble/polite form of 「知りません」.,advanced
こいつは田中さんです,この方は田中さんです,demonstratives,こいつ,"「こいつ」 is rude. Use 「この方」 (this person, polite).",beginner
あそこに見えます,あちらに見えます,demonstratives,あそこ,「あちら」 is the more polite form of 「あそこ」 (over there).,intermediate
どっちがいいですか,どちらがよろしいでしょうか,demonstratives,どっち,「どちら」 is more polite than 「どっち」. 「よろしいでしょうか」 is more polite than 「いいですか」.,intermediate
こういう風に,このように,demonstratives,こういう風に,「このように」 (in this way) is more formal.,beginner
どんな感じですか,どのような感じでしょうか,demonstratives,どんな,「どのような」 is the more formal and polite version of 「どんな」 (what kind of).,intermediate
あの、すみません,あのう、すみません,demonstratives,あの,「あのう」 is often used as a more hesitant and polite filler than 「あの」.,beginner
雨が降った、だから、傘をさした,雨が降ったので、傘をさした,conjunctions,だから,"「ので」 indicates a natural cause and effect, which fits better than 「だから」 (which is a more direct 'therefore').",intermediate
勉強した、しかし、テストは悪かった,勉強したが、テストは悪かった,conjunctions,しかし,「が」 is a more natural way to connect two contrasting clauses than starting a new sentence with 「しかし」.,intermediate
彼は学生、そして、彼女も学生,彼も彼女も学生です,conjunctions,そして,"When listing similar items, particles like も can be more efficient than using そして.",beginner
時間がない。でも、行きたい,時間がない、でも行きたい,conjunctions,。,Using a comma instead of a period makes for a smoother sentence.,beginner
春は暖かい、また、花が咲く,春は暖かく、また花が咲く,conjunctions,暖かい、,The te-form (暖かく) is used to connect adjective clauses.,intermediate
値段は高い、それに、質も悪い,値段は高い上に、質も悪い,conjunctions,それに,「上に」 (on top of that) is a good way to add another negative point.,intermediate
まず、手を洗う。それから、食べる,まず手を洗い、それから食べる,conjunctions,。,Using the verb stem (洗い) is a common way to connect sequential actions in writing.,intermediate
つまり、彼は来ない,つまり、彼は来ないということです,conjunctions,来ない,Adding 「ということです」 makes the conclusion softer and more complete.,intermediate
なぜなら、風邪をひいた,なぜなら風邪をひいたからだ,conjunctions,ひいた,A sentence explaining a reason with 「なぜなら」 should end with 「からだ」 or 「からです」.,intermediate
あるいは、バスで行く,または、バスで行く,conjunctions,あるいは,「または」 is more common for simple alternatives (A or B). 「あるいは」 can imply more complex possibilities or uncertainty.,intermediate
東京、および、大阪,東京および大阪,conjunctions,",",No comma is needed when using a formal conjunction like および.,beginner
もし雨なら、そして、風が強ければ,もし雨で、風が強ければ,conjunctions,なら、そして,"When listing conditions, the te-form (雨で) is a natural connector.",intermediate
猫の手も借りたい,とても忙しい,idiomatic_expressions,猫の手も借りたい,"This idiom means 'so busy I'd even borrow a cat's paw'. It should be explained, not used literally.",intermediate
顔が広い,知り合いが多い,idiomatic_expressions,顔が広い,"This means 'to have a wide face', idiomatically meaning well-connected.",intermediate
油を売る,仕事中に無駄話をする,idiomatic_expressions,油を売る,"Means 'to sell oil', idiomatically means to slack off or chat idly during work.",intermediate
口が堅い,秘密を守れる,idiomatic_expressions,口が堅い,"Means 'mouth is hard', idiomatically means someone who can keep a secret.",beginner
耳が痛い,自分の欠点を指摘されて聞くのがつらい,idiomatic_expressions,耳が痛い,"Means 'ear hurts', idiomatically used when hearing something true about your own faults that is hard to listen to.",intermediate
足が棒になる,長時間歩いたり立ったりして足が疲れる,idiomatic_expressions,足が棒になる,"Means 'legs become sticks', idiomatically means one's legs are stiff and tired from walking/standing.",beginner
目がない,〜が大好きだ,idiomatic_expressions,目がない,"Means 'to have no eyes', used with a noun (e.g., 甘い物に目がない) to mean you have a weakness for it.",intermediate
頭が固い,頑固だ,idiomatic_expressions,頭が固い,"Means 'head is hard', idiomatically means stubborn.",beginner
首を長くして待つ,心待ちにする,idiomatic_expressions,首を長くして待つ,"Means 'to wait with a long neck', idiomatically means to eagerly await something.",intermediate
腹を割って話す,本音で話す,idiomatic_expressions,腹を割って話す,"Means 'to split one's belly and talk', idiomatically means to speak frankly and honestly.",intermediate
手に汗を握る,緊張してはらはらする,idiomatic_expressions,手に汗を握る,"Means 'to grip sweat in one's hand', idiomatically means to be in suspense or thrilled.",intermediate
大目に見る,厳しくとがめずに許す,idiomatic_expressions,大目に見る,"Means 'to see with a big eye', idiomatically means to overlook a fault or turn a blind eye.",intermediate
いがいと,意外と,sound_based_error,いがい,Common pronunciation-based typo. The correct spelling is 意外.,beginner
こうか,効果,sound_based_error,こうか,"Homophone. Could be 効果 (effect), 高価 (expensive), 硬貨 (coin), etc. Context is needed.",intermediate
かてい,家庭,sound_based_error,かてい,"Homophone. Could be 家庭 (home), 課程 (course), 仮定 (assumption).",intermediate
きしゃ,記者,sound_based_error,きしゃ,"Homophone. Could be 記者 (reporter), 貴社 (your company), 汽車 (steam train).",intermediate
せいかく,正確,sound_based_error,せいかく,Homophone. Could be 正確 (accurate) or 性格 (personality).,beginner
いじょう,以上,sound_based_error,いじょう,"Homophone. Could be 以上 (more than), 異常 (abnormal).",beginner
科学の力,化学の力,sound_based_error,科学,Homophone: 科学 (science) vs 化学 (chemistry). Depends on context.,intermediate
私立の学校,市立の学校,sound_based_error,私立,Homophone: 私立 (private) vs 市立 (municipal).,intermediate
自信がある,地震がある,sound_based_error,自信,Homophone: 自信 (confidence) vs 地震 (earthquake).,beginner
おしょくじけん,汚職事件,sound_based_error,おしょくじけん,Can be misheard as お食事券 (meal ticket). Means 'corruption scandal'.,advanced
せいさん,精算,sound_based_error,せいさん,"Homophone. Could be 精算 (fare adjustment), 生産 (production), 清算 (liquidation).",intermediate
たいしょく,退職,sound_based_error,たいしょく,Homophone. Could be 退職 (retirement) or 体色 (body color).,beginner
問題かいけつ,問題解決,compound_word,かいけつ,This is a compound word (jukugo) and should be written together in Kanji.,beginner
でんき代,電気代,compound_word,でんき,The first part of the compound word is usually written in Kanji.,beginner
こどもっぽい,子供っぽい,compound_word,こども,The noun part of the compound is usually written in Kanji.,beginner
くるま椅子,車椅子,compound_word,くるま,This is a standard compound word and should be written with Kanji.,beginner
見やすい,見易い,compound_word,やすい,"The suffix 〜やすい (easy to) is often written in hiragana, but can be written as 易い in more formal contexts.",intermediate
取りあつかい,取扱い,compound_word,あつかい,"In compound verbs, the second part is often written in hiragana (okurigana), but in the noun form it can be shortened. 取扱 is also common.",intermediate
手続き,手続,compound_word,き,"This word is often seen without the okurigana き in formal contexts. Both are correct, but this is a stylistic choice.",intermediate
面白かった,面白かった,compound_word,面白,Correct. This is an example of a properly formed i-adjective.,beginner
勉強します,勉強する,compound_word,します,する is the dictionary form of the verb. します is the polite form.,beginner
青空,青い空,compound_word,青空,青空 is a compound noun 'blue sky'. 青い空 is a noun modified by an adjective 'blue sky'. Subtle difference in nuance.,intermediate
日本風,日本風の,compound_word,日本風,"To modify a noun, the particle の is needed after a noun suffix like 風. (e.g. 日本風の家)",intermediate
食べ放題,食べ放題,compound_word,食べ放題,Correctly formed compound 'all-you-can-eat'.,beginner
我、思う,我思う,literary_colloquial,、,"In literary or philosophical contexts (like Descartes' 'I think'), the phrase is written without a comma.",advanced
〜なり,〜だ,literary_colloquial,なり,なり is an archaic copula (like だ/です). It is found in classical literature.,advanced
いとをかし,とても趣がある,literary_colloquial,いとをかし,An archaic phrase from classical Japanese meaning 'very charming' or 'interesting'.,advanced
参る,行く・来る,literary_colloquial,参る,"In modern Japanese, 参る is a humble verb. In classical Japanese, it was a general verb for going/coming to a high-ranking person.",advanced
である,だ,literary_colloquial,である,"である is a more formal, written-style copula than だ.",intermediate
雨が降れり,雨が降った,literary_colloquial,降れり,り is a classical past-tense suffix.,advanced
言わんとす,言おうとする,literary_colloquial,言わんとす,An archaic form meaning 'to try to say'.,advanced
吾輩は猫である,私は猫です,literary_colloquial,吾輩は猫である,A famous literary phrase using archaic pronouns (吾輩) and copulas. The modern equivalent is plain.,intermediate
せねばならぬ,しなければならない,literary_colloquial,せねばならぬ,A more literary and sometimes forceful way of saying 'must do'.,intermediate
その儀,そのこと,literary_colloquial,儀,"儀 is a very formal, somewhat archaic word for 'matter' or 'affair'.",advanced
お待ちしておりました,待ってたよ,literary_colloquial,お待ちしておりました,"A very polite, formal phrase. The colloquial version is much simpler.",intermediate
左様,その通り,literary_colloquial,左様,"A formal, somewhat old-fashioned way of saying 'that's right'.",intermediate
クライアントにアポを取る,顧客との約束を取り付ける,industry_specific,アポ,"「アポ」 is jargon from 'appointment'. In more formal language, use 「約束」. Industry: Business.",intermediate
このタスク、デグレしてない？,このタスクで、以前の機能が劣化していませんか？,industry_specific,デグレ,「デグレ」 is IT jargon for 'degradation' (a feature that used to work is now broken).,advanced
エビデンスをください,証拠を見せてください,industry_specific,エビデンス,Business/medical/academic jargon for 'evidence'.,intermediate
なるはやでお願いします,なるべく早くお願いします,industry_specific,なるはや,Jargon for 'as soon as possible'. Too casual for formal requests.,beginner
コンセンサスを取る,合意を得る,industry_specific,コンセンサス,Business jargon for 'consensus'.,intermediate
ペンディングにする,保留にする,industry_specific,ペンディング,Business jargon for 'pending'.,beginner
リスケしてください,スケジュールを変更してください,industry_specific,リスケ,Business jargon for 'reschedule'.,beginner
バジェットはどのくらいですか,予算はどのくらいですか,industry_specific,バジェット,Business jargon for 'budget'.,intermediate
今日のレジュメです,今日の会議資料です,industry_specific,レジュメ,"Jargon for 'resume' or 'summary', often used for meeting handouts.",beginner
インプットが足りない,知識や情報が不足している,industry_specific,インプット,"Business/IT jargon for 'input', meaning knowledge or information.",intermediate
フィックスでお願いします,それで確定でお願いします,industry_specific,フィックス,"Business jargon for 'fix', meaning to finalize something.",intermediate
この件、誰にエスカレすれば？,この件は、誰に上申すればよいですか？,industry_specific,エスカレ,"Business jargon for 'escalate', meaning to report to a superior.",advanced
コーヒーにいれますか？,コーヒーはいかがですか？,particle_error,に,"The particle に is incorrect here. For an offer, the pattern is 「〜はいかがですか？」.",beginner
犬は公園を散歩します,犬と公園を散歩します,particle_error,は,This implies the dog is walking alone. Using と includes the speaker.,intermediate
私は日本語ができます,私は日本語が話せます,word_choice,できます,話せます (can speak) is more natural for languages than できます (can do).,intermediate
彼は先生になるそうです,彼は先生になるそうです,ambiguity,そうです,This can mean 'I heard he will become a teacher' or 'He looks like he will become a teacher'. Context is key.,advanced
昨日、映画を見た、面白かった,昨日見た映画は面白かった,sentence_structure,、,Combining these into one sentence with a relative clause is more natural.,intermediate
暑いから、エアコンをつけた,暑いので、エアコンをつけました,politeness,から,"ので is slightly more formal for giving reasons. Also, polite form つけました is better.",intermediate
速く歩いてください,もう少し速く歩いていただけますか,politeness,ください,いただけますか is a more polite and less demanding request.,advanced
これを手伝ってください,これをお手伝いいただけますでしょうか,honorifics,手伝って,A highly formal and polite request using humble and honorific forms.,advanced
昨日、何を食べましたか。,昨日、何を食べましたか？,punctuation_error,。,"A question should end with a question mark, not a period.",beginner
かれのくるま,彼の車,character_error,かれのくるま,Nouns and pronouns are typically written in Kanji.,beginner
とても美しいです景色,景色がとても美しいです,word_order,です景色,The noun (景色) should come before the adjective and verb.,beginner
私は寿司が好きじゃない,私は寿司が好きではありません,negation,じゃない,ではありません is the more formal and polite negation of です.,intermediate
もし時間があれば、行きます,もし時間があれば行きます,punctuation_error,",",A comma is not necessary after the conditional clause here.,beginner
この本を読み終わったら、寝ます,この本を読み終わったら寝ます,punctuation_error,",",No comma needed. The flow is natural without it.,beginner
ええと、それはですね,ええと、それは…,filler_words,ですね,Using ですね as a filler can sound unnatural. Ending with ... is more common when thinking.,intermediate
あのう、お名前は何ですか,失礼ですが、お名前を伺ってもよろしいですか,politeness,あのう,A much more polite and formal way to ask for someone's name.,advanced
チョーうまい！,非常に美味しいです,slang,チョー,チョー is very casual slang for 'very'. 非常に is a formal equivalent.,intermediate
今日のランチ、どうする？,今日の昼食は、どうなさいますか？,politeness,どうする,A more polite and honorific way to ask someone their lunch plans.,intermediate
彼は来ないと思う,彼はいらっしゃらないかと存じます,honorifics,来ないと思う,A very formal and humble way to express that you think someone (of higher status) won't come.,advanced
マジで？,本当ですか？,slang,マジで,マジで is very informal. 本当ですか is the standard polite equivalent.,beginner
このPC、スペック高いね,このパソコンは、性能が高いですね,jargon,スペック,スペック is technical jargon for 'specifications'. 性能 is the general Japanese word for 'performance'.,intermediate
資料、見ました,資料を拝見しました,honorifics,見ました,"拝見しました is the humble form, used for your own action of seeing something from a superior.",advanced
ヤバい、遅刻する,大変だ、遅刻してしまう,slang,ヤバい,ヤバい is slang. 大変だ is a more standard expression for being in trouble.,intermediate
了解です,承知いたしました,business_japanese,了解です,了解 can be seen as informal or for superiors to subordinates. 承知いたしました is the standard polite form.,intermediate
考えときます,検討いたします,business_japanese,考えときます,"A casual contraction. 検討いたします is the formal, humble way to say 'I will consider it'.",advanced
できません,いたしかねます,business_japanese,できません,"A very formal and indirect way to say you cannot do something, often used in customer service.",advanced
すみません、分かりません,申し訳ありません、存じ上げません,business_japanese,分かりません,A more formal apology and a humble way of saying you don't know.,advanced
ちょっと待ってください,少々お待ちいただけますでしょうか,business_japanese,ちょっと待って,A very polite and formal way to ask someone to wait.,advanced
彼に伝えておきます,彼にお伝えしておきます,honorifics,伝えて,"お伝えする is the humble form of 伝える (to convey), used when speaking about your actions to someone else.",intermediate
この仕事をやる,この業務を担当いたします,business_japanese,やる,"A formal way to say you will be in charge of this work, using the humble form.",intermediate
